연번,인허가관할기관,업소명,업종,업태,업소주소,영업상태
30948,인천광역시 서구,작은주방,일반음식점,식육(숯불구이),"인천광역시 서구 가정로126번길 7(가좌동, 1층 왼쪽)",정상
30949,인천광역시 서구,잔정,일반음식점,한식,인천광역시 서구 염곡로498번길 11(1층 일부호 가정동),정상
30950,인천광역시 서구,잘구워보세,일반음식점,한식,"인천광역시 서구 완정로 43(마전동, 마전프라자 1층 104호, 105호)",정상
30951,인천광역시 서구,잠깐만호프,일반음식점,호프/통닭,"인천광역시 서구 원창로 227(가정동, 507-9)",정상
30952,인천광역시 서구,장가네감자탕,일반음식점,한식,"인천광역시 서구 북항로32번안길 41(건원프라자 105,106호 원창동)",정상
30953,인천광역시 서구,장가네매운갈비찜,일반음식점,한식,인천광역시 서구 검단로501번길 38(한일상가 103호 마전동),정상
30954,인천광역시 서구,장군식당,일반음식점,한식,인천광역시 서구 서달로149번길 12-12(명성빌딩 105호 석남동),정상
30955,인천광역시 서구,장군집,일반음식점,한식,인천광역시 서구 검단로768번1길 16(103호 불로동),정상
30956,인천광역시 서구,장금이네,일반음식점,한식,인천광역시 서구 완정로188번길 17(101호 마전동),정상
30957,인천광역시 서구,장마당,일반음식점,정종/대포집/소주방,"인천광역시 서구 검단로487번길 22-1(101,102호 마전동)",정상
30958,인천광역시 서구,장마루,일반음식점,한식,인천광역시 서구 원적로 79(가좌동),정상
30959,인천광역시 서구,장모님 밥상,일반음식점,한식,"인천광역시 서구 신현로 40-1(신현동, 283-19)",정상
30960,인천광역시 서구,장모한상,일반음식점,한식,"인천광역시 서구 여우재로 119(상가2동 201호 가좌동, 인천가좌 두산위브 트레지움)",정상
30961,인천광역시 서구,장미맨숀루원시티점,일반음식점,호프/통닭,"인천광역시 서구 봉오재3로94번길 11(MK타워 203,204호 가정동)",정상
30962,인천광역시 서구,장미맨숀청라점,일반음식점,한식,"인천광역시 서구 중봉대로586번길 9-11(청라매그놀리아오피스텔 123호, 124호, 125호 청라동)",정상
30963,인천광역시 서구,장백정의고깃간,일반음식점,한식,인천광역시 서구 가정로 311(1층 일부호 석남동),정상
30964,인천광역시 서구,장비촨촨향훠궈,일반음식점,중국식,인천광역시 서구 중봉대로612번길 10-17(청라타워돔 1층 147호 청라동),정상
30965,인천광역시 서구,장사의민족,일반음식점,분식,인천광역시 서구 탁옥로 14(상원빌딩 2층 일부 심곡동),정상
30966,인천광역시 서구,장사의민족 석남점,일반음식점,한식,인천광역시 서구 길주로63번길 5(1층 석남동),정상
30967,인천광역시 서구,장생솥뚜껑삼겹살,일반음식점,한식,"인천광역시 서구 검단로 752(불로동, 103,104호)",정상
30968,인천광역시 서구,장성각,일반음식점,중국식,인천광역시 서구 서달로49번길 9(1층 일부 석남동),정상
30969,인천광역시 서구,장수,일반음식점,탕류(보신용),"인천광역시 서구 새오개로 74(신현동, 1층일부)",정상
30970,인천광역시 서구,장수골,일반음식점,한식,인천광역시 서구 승학로 574(현우프라자 1층 일부호 검암동),정상
30971,인천광역시 서구,장수골,일반음식점,한식,인천광역시 서구 승학로 199(심곡동),정상
30972,인천광역시 서구,장수꺼먹돼지,일반음식점,기타,인천광역시 서구 율도로 39(신현동),정상
30973,인천광역시 서구,장수마을,일반음식점,회집,인천광역시 서구 건지로 405(2층 가좌동),정상
30974,인천광역시 서구,장수상회,일반음식점,식육(숯불구이),"인천광역시 서구 중봉대로586번길 19(124,125,126,127호 연희동, 홍익파크)",정상
30975,인천광역시 서구,장수육회,일반음식점,회집,"인천광역시 서구 완정로117번길 62(101,102호 왕길동)",정상
30976,인천광역시 서구,장수포차,일반음식점,호프/통닭,"인천광역시 서구 건지로284번길 4(110호 가좌동, 107-3 영화상가 C동 110호)",정상
